No,Need,Library,Category,Stack,Install,Key Components,Dependencies,Docs URL,License
1,Animated text effects,react-bits,Animation,React (+Tailwind opt),npx shadcn@latest add @react-bits/<Name>-TS-TW,BlurText/GradientText/DecryptedText/CountUp/SplitText/RotatingText,React; ogl/three for some,https://reactbits.dev,MIT + Commons Clause
2,WebGL/canvas backgrounds,react-bits,Animation,React,npx shadcn@latest add @react-bits/<Name>-TS-TW,Aurora/Particles/Galaxy/Plasma/Silk/Hyperspeed/Waves,ogl/three,https://reactbits.dev,MIT + Commons Clause
3,Creative cursor/scroll/image effects,react-bits,Animation,React,npx shadcn@latest add @react-bits/<Name>-TS-TW,BlobCursor/ImageTrail/ScrollReveal/TiltedCard/Magnet,framer-motion/gsap varies,https://reactbits.dev,MIT + Commons Clause
4,Marketing special effects,Magic UI,Animation,React + shadcn,npx shadcn@latest add https://magicui.design/r/<name>,Animated Beam/Border Beam/Meteors/Confetti/Magic Card,motion,https://magicui.design/docs/components,MIT
5,Showcase pieces,Magic UI,Layout,React + shadcn,npx shadcn@latest add https://magicui.design/r/<name>,Bento Grid/Dock/Globe/Marquee/Orbiting Circles/Icon Cloud,motion; cobe(Globe),https://magicui.design/docs/components,MIT
6,Device mockups,Magic UI,Layout,React + shadcn,npx shadcn@latest add https://magicui.design/r/<name>,Safari/iPhone/Android,motion,https://magicui.design/docs/components,MIT
7,Pattern backgrounds,Magic UI,Animation,React + shadcn,npx shadcn@latest add https://magicui.design/r/<name>,Dot Pattern/Grid Pattern/Retro Grid/Ripple/Flickering Grid,motion,https://magicui.design/docs/components,MIT
8,Micro-interaction widgets,Animata,Animation,React + Tailwind + framer-motion,copy-paste from site,Animated counters/toggles/skeletons/preloaders/widgets,framer-motion,https://animata.design/components,MIT
9,AI product UI,KokonutUI,AI,React + shadcn,npx shadcn@latest add @kokonutui/<name>,ai-prompt/ai-loading/ai-voice/ai-input-search,motion,https://kokonutui.com,MIT
10,Rich animated cards,KokonutUI,Layout,React + shadcn,npx shadcn@latest add @kokonutui/<name>,card-flip/card-stack/spotlight-cards/liquid-glass-card/bento-grid,motion,https://kokonutui.com,MIT
11,Stylish buttons & text,KokonutUI,Animation,React + shadcn,npx shadcn@latest add @kokonutui/<name>,gradient-button/particle-button/glitch-text/type-writer,motion,https://kokonutui.com,MIT
12,Rich-text/WYSIWYG editor framework,Plate,Editor,React + Slate + shadcn,npx shadcn@latest add @plate/editor-ai,Editor framework/plugins/AI/slash menu/tables,slate; @platejs/* plugins,https://platejs.org,MIT
13,Kanban board,Kibo UI,Data,React + shadcn,npx shadcn@latest add @kibo-ui/kanban,kanban,dnd lib,https://www.kibo-ui.com/docs,MIT
14,Gantt chart,Kibo UI,Data,React + shadcn,npx shadcn@latest add @kibo-ui/gantt,gantt,dnd lib,https://www.kibo-ui.com/docs,MIT
15,Code block,Kibo UI,Developer,React + shadcn,npx shadcn@latest add @kibo-ui/code-block,code-block/snippet/sandbox/comparison,syntax highlighter,https://www.kibo-ui.com/docs,MIT
